chrom	start	end	pbs_mean	log10(pbs_mean)	Zscore	pval	top_region
chr22	30000000	30009162	0.026	-1.585026652029182	-1.5259882579017834	0.9364936055952576	chr22_30000000_30020000
chr22	30000000	30020000	0.0145	-1.8386319977650247	-2.323794664111766	0.9899317490671128	chr22_30000000_30020000
chr22	30000000	30020000	0.0375	-1.4259687322722812	-1.025614628267549	0.8474633652569998	chr22_30000000_30020000
chr22	30000000	30020000	0.067	-1.1739251972991736	-0.2327214569429854	0.5920111468019515	chr22_30000000_30020000
chr22	30016476	30020000	0.0845	-1.0731432910503076	0.0843241092776449	0.4663993721165619	chr22_30000000_30020000
chr22	40000000	40005891	0.183	-0.7375489102695705	1.1400563774523984	0.1271314070776695	chr22_40000000_40020000
chr22	40000000	40019613	0.136	-0.8664610916297825	0.7345169601768406	0.2313168636725088	chr22_40000000_40020000
chr22	40000000	40020000	0.1095	-0.9605858808238628	0.4384137389126518	0.3305431944053194	chr22_40000000_40020000
chr22	40000000	40020000	0.1105	-0.9566377219788704	0.4508340860079785	0.326054566254973	chr22_40000000_40020000
chr22	40006755	40020000	0.1025	-0.9892761346082268	0.3481582744683122	0.3638606609483844	chr22_40000000_40020000
