sample	haplo_Skov	chrom	start	end	count_across_all_reg	ovrlp_across_all_reg	chr_st_end	total_overlap	total_in_reg
191121_FD09254817	191121_FD09254817_hap1	chr1	88889000	88945000	16	12	chr1.88896140.88947229	12	15
O517_DA_C001KM0	O517_DA_C001KM0_hap1	chr1	88893000	88948000	21	14	chr1.88896140.88947229	14	15
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88894000	88945000	17	12	chr1.88896140.88947229	12	15
O517_DA_C001KL9	O517_DA_C001KL9_hap2	chr1	88894000	88946000	19	14	chr1.88896140.88947229	14	15
O517_DA_C001KLI	O517_DA_C001KLI_hap1	chr1	88894000	88948000	23	15	chr1.88896140.88947229	15	15
O517_DA_C001KLV	O517_DA_C001KLV_hap1	chr1	88894000	88948000	21	15	chr1.88896140.88947229	15	15
O517_DA_C001KM4	O517_DA_C001KM4_hap1	chr1	88894000	88948000	20	15	chr1.88896140.88947229	15	15
O517_DA_C001KM4	O517_DA_C001KM4_hap2	chr1	88894000	88948000	20	15	chr1.88896140.88947229	15	15
O517_DA_C001KM5	O517_DA_C001KM5_hap2	chr1	88894000	88948000	20	14	chr1.88896140.88947229	14	15
O517_DA_C002DBN	O517_DA_C002DBN_hap1	chr1	88894000	88948000	21	15	chr1.88896140.88947229	15	15
O517_DA_C001KNP	O517_DA_C001KNP_hap1	chr1	88894000	88950000	22	15	chr1.88896140.88947229	15	15
191121_FD09254777	191121_FD09254777_hap1	chr1	88895000	88946000	16	12	chr1.88896140.88947229	12	15
O517_DA_C001KMD	O517_DA_C001KMD_hap2	chr1	88994000	89019000	13	5	chr1.88997360.89166435	5	21
191121_FD09254817	191121_FD09254817_hap1	chr1	88996000	89015000	10	7	chr1.88997360.89166435	7	21
O517_DA_C001KMK	O517_DA_C001KMK_hap1	chr1	88996000	89280000	226	144	chr1.88997360.89166435	20	21
O517_DA_C001KMK	O517_DA_C001KMK_hap1	chr1	88996000	89280000	226	144	chr1.89054418.89202534	115	122
O517_DA_C001KMK	O517_DA_C001KMK_hap1	chr1	88996000	89280000	226	144	chr1.89262527.89278128	8	8
O517_DA_C001KMK	O517_DA_C001KMK_hap1	chr1	88996000	89280000	226	144	chr1.89275364.89314715	1	19
191121_FD09254787	191121_FD09254787_hap1	chr1	88996000	89315000	242	166	chr1.88997360.89166435	18	21
191121_FD09254787	191121_FD09254787_hap1	chr1	88996000	89315000	242	166	chr1.89054418.89202534	122	122
191121_FD09254787	191121_FD09254787_hap1	chr1	88996000	89315000	242	166	chr1.89262527.89278128	8	8
191121_FD09254787	191121_FD09254787_hap1	chr1	88996000	89315000	242	166	chr1.89275364.89314715	18	19
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88996000	89315000	247	170	chr1.88997360.89166435	21	21
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88996000	89315000	247	170	chr1.89054418.89202534	122	122
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88996000	89315000	247	170	chr1.89262527.89278128	8	8
O517_DA_C001KLQ	O517_DA_C001KLQ_hap1	chr1	88996000	89315000	247	170	chr1.89275364.89314715	19	19
O517_DA_C001KLQ	O517_DA_C001KLQ_hap2	chr1	88996000	89315000	247	170	chr1.88997360.89166435	21	21
O517_DA_C001KLQ	O517_DA_C001KLQ_hap2	chr1	88996000	89315000	247	170	chr1.89054418.89202534	122	122
O517_DA_C001KLQ	O517_DA_C001KLQ_hap2	chr1	88996000	89315000	247	170	chr1.89262527.89278128	8	8
O517_DA_C001KLQ	O517_DA_C001KLQ_hap2	chr1	88996000	89315000	247	170	chr1.89275364.89314715	19	19
191121_FD09254835	191121_FD09254835_hap2	chr1	88996000	89317000	251	170	chr1.88997360.89166435	21	21
191121_FD09254835	191121_FD09254835_hap2	chr1	88996000	89317000	251	170	chr1.89054418.89202534	122	122
191121_FD09254835	191121_FD09254835_hap2	chr1	88996000	89317000	251	170	chr1.89262527.89278128	8	8
191121_FD09254835	191121_FD09254835_hap2	chr1	88996000	89317000	251	170	chr1.89275364.89314715	19	19
O517_DA_C001KMG	O517_DA_C001KMG_hap2	chr1	88996000	89317000	247	169	chr1.88997360.89166435	21	21
O517_DA_C001KMG	O517_DA_C001KMG_hap2	chr1	88996000	89317000	247	169	chr1.89054418.89202534	122	122
O517_DA_C001KMG	O517_DA_C001KMG_hap2	chr1	88996000	89317000	247	169	chr1.89262527.89278128	8	8
O517_DA_C001KMG	O517_DA_C001KMG_hap2	chr1	88996000	89317000	247	169	chr1.89275364.89314715	18	19
O517_DA_C001KMP	O517_DA_C001KMP_hap1	chr1	88996000	89318000	247	169	chr1.88997360.89166435	20	21
O517_DA_C001KMP	O517_DA_C001KMP_hap1	chr1	88996000	89318000	247	169	chr1.89054418.89202534	122	122
O517_DA_C001KMP	O517_DA_C001KMP_hap1	chr1	88996000	89318000	247	169	chr1.89262527.89278128	8	8
O517_DA_C001KMP	O517_DA_C001KMP_hap1	chr1	88996000	89318000	247	169	chr1.89275364.89314715	19	19
O517_DA_C001KMA	O517_DA_C001KMA_hap2	chr1	88997000	89013000	12	5	chr1.88997360.89166435	5	21
191121_FD09254788	191121_FD09254788_hap2	chr1	88997000	89019000	14	7	chr1.88997360.89166435	7	21
O517_DA_C002DCC	O517_DA_C002DCC_hap1	chr1	88997000	89118000	92	59	chr1.88997360.89166435	20	21
O517_DA_C002DCC	O517_DA_C002DCC_hap1	chr1	88997000	89118000	92	59	chr1.89054418.89202534	39	122
O517_DA_C001KLO	O517_DA_C001KLO_hap1	chr1	88997000	89133000	112	75	chr1.88997360.89166435	18	21
O517_DA_C001KLO	O517_DA_C001KLO_hap1	chr1	88997000	89133000	112	75	chr1.89054418.89202534	57	122
191121_FD09254764	191121_FD09254764_hap1	chr1	88997000	89236000	208	143	chr1.88997360.89166435	21	21
191121_FD09254764	191121_FD09254764_hap1	chr1	88997000	89236000	208	143	chr1.89054418.89202534	122	122
O517_DA_C001KNC	O517_DA_C001KNC_hap1	chr1	88997000	89238000	211	143	chr1.88997360.89166435	21	21
O517_DA_C001KNC	O517_DA_C001KNC_hap1	chr1	88997000	89238000	211	143	chr1.89054418.89202534	122	122
191121_FD09254809	191121_FD09254809_hap2	chr1	88997000	89256000	220	143	chr1.88997360.89166435	21	21
191121_FD09254809	191121_FD09254809_hap2	chr1	88997000	89256000	220	143	chr1.89054418.89202534	122	122
O517_DA_C001KMI	O517_DA_C001KMI_hap2	chr1	88997000	89273000	225	150	chr1.88997360.89166435	21	21
O517_DA_C001KMI	O517_DA_C001KMI_hap2	chr1	88997000	89273000	225	150	chr1.89054418.89202534	122	122
O517_DA_C001KMI	O517_DA_C001KMI_hap2	chr1	88997000	89273000	225	150	chr1.89262527.89278128	7	8
191121_FD09254793	191121_FD09254793_hap2	chr1	88997000	89276000	226	145	chr1.88997360.89166435	20	21
191121_FD09254793	191121_FD09254793_hap2	chr1	88997000	89276000	226	145	chr1.89054418.89202534	117	122
191121_FD09254793	191121_FD09254793_hap2	chr1	88997000	89276000	226	145	chr1.89262527.89278128	7	8
191121_FD09254793	191121_FD09254793_hap2	chr1	88997000	89276000	226	145	chr1.89275364.89314715	1	19
191121_FD09254763	191121_FD09254763_hap2	chr1	88997000	89280000	225	152	chr1.88997360.89166435	21	21
191121_FD09254763	191121_FD09254763_hap2	chr1	88997000	89280000	225	152	chr1.89054418.89202534	122	122
191121_FD09254763	191121_FD09254763_hap2	chr1	88997000	89280000	225	152	chr1.89262527.89278128	8	8
191121_FD09254763	191121_FD09254763_hap2	chr1	88997000	89280000	225	152	chr1.89275364.89314715	1	19
O517_DA_C001KLR	O517_DA_C001KLR_hap2	chr1	88997000	89280000	228	152	chr1.88997360.89166435	21	21
O517_DA_C001KLR	O517_DA_C001KLR_hap2	chr1	88997000	89280000	228	152	chr1.89054418.89202534	122	122
O517_DA_C001KLR	O517_DA_C001KLR_hap2	chr1	88997000	89280000	228	152	chr1.89262527.89278128	8	8
O517_DA_C001KLR	O517_DA_C001KLR_hap2	chr1	88997000	89280000	228	152	chr1.89275364.89314715	1	19
O517_DA_C002DBK	O517_DA_C002DBK_hap2	chr1	88997000	89302000	232	148	chr1.88997360.89166435	21	21
O517_DA_C002DBK	O517_DA_C002DBK_hap2	chr1	88997000	89302000	232	148	chr1.89054418.89202534	118	122
O517_DA_C002DBK	O517_DA_C002DBK_hap2	chr1	88997000	89302000	232	148	chr1.89262527.89278128	8	8
O517_DA_C002DBK	O517_DA_C002DBK_hap2	chr1	88997000	89302000	232	148	chr1.89275364.89314715	1	19
O517_DA_C002DCX	O517_DA_C002DCX_hap1	chr1	88997000	89302000	238	152	chr1.88997360.89166435	21	21
O517_DA_C002DCX	O517_DA_C002DCX_hap1	chr1	88997000	89302000	238	152	chr1.89054418.89202534	122	122
O517_DA_C002DCX	O517_DA_C002DCX_hap1	chr1	88997000	89302000	238	152	chr1.89262527.89278128	8	8
O517_DA_C002DCX	O517_DA_C002DCX_hap1	chr1	88997000	89302000	238	152	chr1.89275364.89314715	1	19
191121_FD09254748	191121_FD09254748_hap2	chr1	88997000	89315000	255	170	chr1.88997360.89166435	21	21
191121_FD09254748	191121_FD09254748_hap2	chr1	88997000	89315000	255	170	chr1.89054418.89202534	122	122
191121_FD09254748	191121_FD09254748_hap2	chr1	88997000	89315000	255	170	chr1.89262527.89278128	8	8
191121_FD09254748	191121_FD09254748_hap2	chr1	88997000	89315000	255	170	chr1.89275364.89314715	19	19
191121_FD09254786	191121_FD09254786_hap1	chr1	88997000	89315000	250	170	chr1.88997360.89166435	21	21
191121_FD09254786	191121_FD09254786_hap1	chr1	88997000	89315000	250	170	chr1.89054418.89202534	122	122
191121_FD09254786	191121_FD09254786_hap1	chr1	88997000	89315000	250	170	chr1.89262527.89278128	8	8
191121_FD09254786	191121_FD09254786_hap1	chr1	88997000	89315000	250	170	chr1.89275364.89314715	19	19
