chrom	start	end	xpehh
chr22	40000023	40000024	-1.70899
chr22	40000045	40000046	-1.56187
chr22	40000240	40000241	-1.56187
chr22	40000242	40000243	-1.56187
chr22	40000288	40000289	-1.56187
chr22	40000291	40000292	-1.56187
chr22	40000398	40000399	-1.56187
chr22	40000401	40000402	-1.57851
chr22	40000404	40000405	-1.73869
chr22	40000459	40000460	-1.42273
chr22	40000470	40000471	-1.42273
chr22	40000509	40000510	-1.42273
chr22	40000519	40000520	-1.42273
chr22	40000539	40000540	-1.45793
chr22	40000716	40000717	-1.44473
chr22	40000738	40000739	-1.42771
chr22	40000793	40000794	-1.42771
chr22	40000825	40000826	-1.42771
chr22	40000901	40000902	-1.42771
chr22	40000924	40000925	-1.42771
chr22	40000989	40000990	-1.4412
chr22	40001028	40001029	-1.47469
chr22	40001069	40001070	-1.43652
chr22	40001087	40001088	-1.43652
chr22	40001101	40001102	-1.43652
chr22	40001105	40001106	-1.43652
chr22	40001177	40001178	-1.43652
chr22	40001240	40001241	-1.43652
chr22	40001251	40001252	-1.43652
chr22	40001290	40001291	-1.43652
chr22	40001303	40001304	-1.33843
chr22	40001317	40001318	-1.48625
chr22	40001337	40001338	-1.48625
chr22	40001388	40001389	-1.46108
chr22	40001389	40001390	-1.47116
chr22	40001403	40001404	-1.47116
chr22	40001409	40001410	-1.47116
chr22	40001454	40001455	-1.47116
chr22	40001518	40001519	-1.5787
chr22	40001678	40001679	-1.46728
chr22	40001696	40001697	-1.46728
chr22	40001753	40001754	-1.46728
chr22	40001832	40001833	-1.46728
chr22	40001841	40001842	-1.46728
chr22	40001898	40001899	-1.46728
chr22	40001926	40001927	-1.46728
chr22	40001960	40001961	-1.46728
chr22	40002032	40002033	-1.46728
chr22	40002107	40002108	-1.46728
chr22	40002108	40002109	-1.46728
chr22	40002156	40002157	-1.48169
chr22	40002185	40002186	-1.46743
chr22	40002279	40002280	-1.46743
chr22	40002343	40002344	-1.46743
chr22	40002414	40002415	-1.46743
chr22	40002470	40002471	-1.46743
chr22	40002495	40002496	-1.46743
chr22	40002501	40002502	-1.46743
chr22	40002506	40002507	-1.46743
chr22	40002580	40002581	-1.46743
chr22	40002607	40002608	-1.46743
chr22	40002742	40002743	-1.46743
chr22	40002840	40002841	-1.57921
chr22	40002840	40002841	-1.29199
chr22	40002865	40002866	-1.29199
chr22	40002866	40002867	-1.29199
chr22	40002871	40002872	-1.26649
chr22	40002882	40002883	-1.28113
chr22	40002921	40002922	-1.28113
chr22	40003031	40003032	-1.28113
chr22	40003084	40003085	-1.28113
chr22	40003164	40003165	-1.17744
chr22	40003172	40003173	-1.21681
chr22	40003204	40003205	-1.21681
chr22	40003215	40003216	-1.21681
chr22	40003232	40003233	-1.21681
chr22	40003288	40003289	-1.21681
chr22	40003299	40003300	-1.21681
chr22	40003393	40003394	-1.21681
chr22	40003443	40003444	-1.21681
chr22	40003445	40003446	-1.21681
chr22	40003486	40003487	-1.21681
chr22	40003538	40003539	-1.21681
chr22	40003566	40003567	-1.21681
chr22	40003595	40003596	-1.21681
chr22	40003704	40003705	-1.21681
chr22	40003768	40003769	-1.21681
chr22	40003812	40003813	-1.21681
chr22	40003815	40003816	-1.21681
chr22	40003822	40003823	-1.57726
chr22	40003831	40003832	-1.54226
chr22	40003858	40003859	-1.54226
chr22	40003892	40003893	-1.54226
chr22	40004014	40004015	-1.55384
chr22	40004020	40004021	-1.55029
chr22	40004147	40004148	-1.57376
chr22	40004159	40004160	-1.58975
chr22	40004234	40004235	-1.57794
chr22	40004256	40004257	-1.57794
chr22	40004299	40004300	-1.63869
chr22	40004327	40004328	-1.61244
chr22	40004335	40004336	-1.61244
chr22	40004348	40004349	-1.61244
chr22	40004366	40004367	-1.61244
chr22	40004405	40004406	-1.61244
chr22	40004413	40004414	-1.63583
chr22	40004491	40004492	-1.62502
chr22	40004591	40004592	-1.62502
chr22	40004603	40004604	-1.62502
chr22	40004610	40004611	-1.62502
chr22	40004730	40004731	-1.66254
chr22	40004784	40004785	-1.65916
chr22	40004907	40004908	-1.64901
chr22	40004999	40005000	-1.6186
chr22	40005131	40005132	-1.6186
chr22	40005159	40005160	-1.6186
chr22	40005235	40005236	-1.70072
chr22	40005357	40005358	-1.68873
chr22	40005490	40005491	-1.68873
chr22	40005655	40005656	-1.68873
chr22	40005660	40005661	-1.68873
chr22	40005709	40005710	-1.68873
chr22	40005713	40005714	-1.68873
chr22	40005774	40005775	-1.68873
chr22	40005776	40005777	-1.68873
chr22	40005824	40005825	-1.68873
chr22	40005855	40005856	-1.68873
chr22	40005890	40005891	-1.72076
chr22	40005960	40005961	-1.70028
chr22	40005977	40005978	-1.70028
chr22	40006030	40006031	-1.70028
chr22	40006068	40006069	-1.70028
chr22	40006123	40006124	-1.70028
chr22	40006147	40006148	-1.70028
chr22	40006314	40006315	-1.70028
chr22	40006374	40006375	-1.70028
chr22	40006392	40006393	-1.70028
chr22	40006402	40006403	-1.64355
chr22	40006543	40006544	-1.64666
chr22	40006605	40006606	-1.64666
chr22	40006707	40006708	-1.64666
chr22	40006754	40006755	-1.65228
chr22	40006766	40006767	-1.66045
chr22	40006776	40006777	-1.66629
chr22	40006781	40006782	-1.66669
chr22	40006812	40006813	-1.96028
chr22	40006821	40006822	-1.92103
chr22	40006860	40006861	-1.92103
chr22	40006889	40006890	-1.90429
chr22	40006892	40006893	-1.93196
chr22	40006920	40006921	-1.92421
chr22	40006955	40006956	-1.92421
chr22	40007036	40007037	-1.92421
chr22	40007108	40007109	-2.03002
chr22	40007158	40007159	-2.01238
chr22	40007166	40007167	-2.02092
chr22	40007171	40007172	-1.9951
chr22	40007201	40007202	-1.93467
chr22	40007214	40007215	-1.98642
chr22	40007264	40007265	-1.97078
chr22	40007644	40007645	-2.13368
chr22	40007664	40007665	-2.06957
chr22	40007720	40007721	-2.0705
chr22	40007787	40007788	-2.0705
chr22	40007894	40007895	-2.0705
chr22	40007976	40007977	-2.0705
chr22	40007983	40007984	-2.24532
chr22	40008022	40008023	-2.19809
chr22	40008030	40008031	-2.22788
chr22	40008044	40008045	-2.21767
chr22	40008050	40008051	-2.21767
chr22	40008075	40008076	-2.21767
chr22	40008111	40008112	-2.2923
chr22	40008150	40008151	-2.28333
chr22	40008163	40008164	-2.28333
chr22	40008202	40008203	-2.28333
chr22	40008220	40008221	-2.28333
chr22	40008246	40008247	-2.28333
chr22	40008275	40008276	-2.28333
chr22	40008285	40008286	-2.28333
chr22	40008286	40008287	-2.28333
chr22	40008288	40008289	-2.31352
chr22	40008299	40008300	-2.27317
chr22	40008311	40008312	-2.28067
chr22	40008316	40008317	-2.27435
chr22	40008327	40008328	-2.27435
chr22	40008329	40008330	-2.3771
chr22	40008401	40008402	-2.32469
chr22	40008407	40008408	-2.32469
chr22	40008471	40008472	-2.32469
chr22	40008572	40008573	-2.32469
chr22	40008598	40008599	-2.3215
chr22	40008599	40008600	-2.32488
chr22	40008607	40008608	-2.32488
chr22	40008629	40008630	-2.32488
chr22	40008641	40008642	-2.32488
chr22	40008686	40008687	-2.32488
chr22	40008767	40008768	-2.37479
chr22	40008781	40008782	-2.31454
chr22	40008791	40008792	-2.31454
chr22	40008817	40008818	-2.31454
chr22	40008818	40008819	-2.31454
chr22	40008907	40008908	-2.36119
chr22	40009046	40009047	-2.35156
chr22	40009055	40009056	-2.35156
chr22	40009082	40009083	-2.35156
chr22	40009106	40009107	-2.35156
chr22	40009116	40009117	-2.35156
chr22	40009120	40009121	-2.35156
chr22	40009134	40009135	-2.35156
chr22	40009172	40009173	-2.35156
chr22	40009211	40009212	-2.35156
chr22	40009215	40009216	-2.35156
chr22	40009542	40009543	-2.35156
chr22	40009628	40009629	-2.35156
chr22	40009729	40009730	-2.40291
chr22	40009730	40009731	-2.38003
chr22	40009758	40009759	-2.42957
chr22	40009843	40009844	-2.4277
chr22	40009893	40009894	-2.42957
chr22	40009926	40009927	-2.42957
chr22	40009936	40009937	-2.40776
chr22	40009948	40009949	-2.3778
chr22	40009951	40009952	-2.3887
chr22	40010078	40010079	-2.3887
chr22	40010085	40010086	-2.3887
chr22	40010139	40010140	-2.3887
chr22	40010161	40010162	-2.3887
chr22	40010267	40010268	-2.49459
chr22	40010268	40010269	-2.32366
chr22	40010269	40010270	-2.32366
chr22	40010292	40010293	-2.32366
chr22	40010345	40010346	-2.33576
chr22	40010374	40010375	-2.30122
chr22	40010457	40010458	-2.33654
chr22	40010598	40010599	-2.25876
chr22	40010681	40010682	-2.25876
chr22	40010698	40010699	-2.25876
chr22	40010759	40010760	-2.25095
chr22	40010776	40010777	-2.25408
chr22	40010945	40010946	-2.26766
chr22	40010964	40010965	-2.24969
chr22	40011042	40011043	-2.25178
chr22	40011217	40011218	-2.24387
chr22	40011285	40011286	-2.24387
chr22	40011292	40011293	-2.24387
chr22	40011304	40011305	-2.24387
chr22	40011332	40011333	-2.24387
