sample	haplo_Skov	chrom	start	end	CHR	START	END	ovelap	length_Skov	ratio	length	state	mean_prob	snps	admixpopvariants	AltaiNeandertal	Chagyrskaya-Phalanx	Denisova	Vindija33.19	chr_st_end_Skov	SNP	Introgression	plain_origin	pop	chr_st_end
191121_FD09254746	191121_FD09254746_hap1	chr1	88997000	89316000	1	88800562	89326878	319000	319000	1	320000	Archaic	0.99218	247	91	81	2	86	80	1.88997000.89316000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254746	191121_FD09254746_hap2	chr1	89118000	89232000	1	88800562	89326878	114000	114000	1	115000	Archaic	0.95942	114	53	47	2	50	50	1.89118000.89232000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254747	191121_FD09254747_hap1	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97888	173	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254747	191121_FD09254747_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97888	173	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254748	191121_FD09254748_hap2	chr1	88997000	89315000	1	88800562	89326878	318000	318000	1	319000	Archaic	0.99287	245	91	81	2	86	80	1.88997000.89315000	89127023	Denisova/Altai Neanderthal	Denisova	LL	chr1.89054418.89202534
191121_FD09254754	191121_FD09254754_hap1	chr1	89050000	89235000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.97461	174	75	66	2	71	72	1.89050000.89235000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254754	191121_FD09254754_hap2	chr1	89053000	89235000	1	88800562	89326878	182000	182000	1	183000	Archaic	0.9754	170	75	66	2	71	72	1.89053000.89235000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254755	191121_FD09254755_hap1	chr1	89001000	89237000	1	88800562	89326878	236000	236000	1	237000	Archaic	0.98716	204	82	73	2	77	79	1.89001000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254755	191121_FD09254755_hap2	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97975	175	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254756	191121_FD09254756_hap1	chr1	89053000	89235000	1	88800562	89326878	182000	182000	1	183000	Archaic	0.97553	170	75	66	2	71	72	1.89053000.89235000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254756	191121_FD09254756_hap2	chr1	89011000	89283000	1	88800562	89326878	272000	272000	1	273000	Archaic	0.98904	219	80	71	2	76	77	1.89011000.89283000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254762	191121_FD09254762_hap1	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.978	173	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254762	191121_FD09254762_hap2	chr1	89048000	89235000	1	88800562	89326878	187000	187000	1	188000	Archaic	0.96759	173	75	66	2	71	72	1.89048000.89235000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254763	191121_FD09254763_hap1	chr1	89053000	89236000	1	88800562	89326878	183000	183000	1	184000	Archaic	0.9739	170	75	66	2	71	72	1.89053000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254763	191121_FD09254763_hap2	chr1	88997000	89280000	1	88800562	89326878	283000	283000	1	284000	Archaic	0.99179	224	83	74	2	78	80	1.88997000.89280000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254764	191121_FD09254764_hap1	chr1	88997000	89236000	1	88800562	89326878	239000	239000	1	240000	Archaic	0.97716	206	82	73	2	77	79	1.88997000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254764	191121_FD09254764_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.9892	173	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254771	191121_FD09254771_hap1	chr1	89050000	89236000	1	88800562	89326878	186000	186000	1	187000	Archaic	0.97311	173	75	66	2	71	72	1.89050000.89236000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254771	191121_FD09254771_hap2	chr1	89001000	89233000	1	88800562	89326878	232000	232000	1	233000	Archaic	0.98147	204	82	73	2	77	79	1.89001000.89233000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254772	191121_FD09254772_hap1	chr1	89053000	89237000	1	88800562	89326878	184000	184000	1	185000	Archaic	0.97252	172	75	66	2	71	72	1.89053000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254772	191121_FD09254772_hap2	chr1	89049000	89238000	1	88800562	89326878	189000	189000	1	190000	Archaic	0.98228	174	75	66	2	71	72	1.89049000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254777	191121_FD09254777_hap1	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.99021	175	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254777	191121_FD09254777_hap2	chr1	89053000	89238000	1	88800562	89326878	185000	185000	1	186000	Archaic	0.98856	172	75	66	2	71	72	1.89053000.89238000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
191121_FD09254779	191121_FD09254779_hap1	chr1	89049000	89237000	1	88800562	89326878	188000	188000	1	189000	Archaic	0.97879	174	75	66	2	71	72	1.89049000.89237000	89127023	Denisova/Altai Neanderthal	ambiguous	LL	chr1.89054418.89202534
